path,extension,domain,category,intel_model,size_bytes,modified,hash_short,status
.agent/intelligence/triage_reports/20260123_172553_triage.json,.json,observer,data,N/A,8133,2026-01-25T23:18:31.377343,f1325d36,new
.agent/intelligence/triage_reports/20260123_172808_triage.json,.json,observer,data,N/A,8133,2026-01-25T23:18:31.377466,435b082a,new
.agent/intelligence/triage_reports/20260125_221658_triage.json,.json,observer,data,N/A,20692,2026-01-25T22:37:34.560076,e84ffcb7,new
.agent/intelligence/truths/repo_truths.yaml,.yaml,observer,config,N/A,3274,2026-01-26T02:23:00.296387,0c8416ce,new
.agent/macros/INDEX.md,.md,observer,doc,N/A,6524,2026-01-25T23:25:24.833458,182ac83f,new
.agent/macros/library/MACRO-001-skeptical-audit.yaml,.yaml,observer,config,N/A,8983,2026-01-26T00:15:54.706546,d5200183,new
.agent/macros/library/MACRO-002-tdj.yaml,.yaml,observer,config,N/A,5603,2026-01-25T23:15:10.432712,6bbe1416,new
.agent/macros/schema/macro.schema.yaml,.yaml,observer,schema,N/A,5854,2026-01-25T22:13:16.906932,ec1570a9,new
.agent/macros/trigger_state.yaml,.yaml,observer,config,N/A,138,2026-01-26T02:23:00.659094,77615311,new
.agent/manifest.yaml,.yaml,observer,config,N/A,2563,2026-01-25T03:36:00.414488,f64b84bb,new
.agent/registry/INDEX.md,.md,observer,doc,N/A,6833,2026-01-26T00:03:27.676033,52aec357,new
.agent/registry/METRICS.md,.md,observer,doc,N/A,2768,2026-01-25T02:48:22.433641,af5f4ea3,new
.agent/registry/README.md,.md,observer,doc,N/A,4203,2026-01-25T03:46:08.296638,9ac6193d,new
.agent/registry/SYMMETRY_SPRINT.yaml,.yaml,observer,config,N/A,7573,2026-01-23T21:39:42.817599,c85c18f3,new
.agent/registry/active/TASK-002.yaml,.yaml,observer,config,N/A,1190,2026-01-23T23:41:05.902973,2c8c64f8,new
.agent/registry/active/TASK-003.yaml,.yaml,observer,config,N/A,898,2026-01-23T12:22:34.606558,7fbc67e8,new
.agent/registry/active/TASK-004.yaml,.yaml,observer,config,N/A,926,2026-01-23T12:31:34.576000,c43a5cea,new
.agent/registry/active/TASK-005.yaml,.yaml,observer,config,N/A,917,2026-01-23T12:31:34.577548,5768cdfd,new
.agent/registry/active/TASK-006.yaml,.yaml,observer,config,N/A,1001,2026-01-23T12:31:34.579474,2c9a958d,new
.agent/registry/active/TASK-007.yaml,.yaml,observer,config,N/A,2641,2026-01-24T02:56:48.631051,dde68963,new
.agent/registry/active/TASK-008.yaml,.yaml,observer,config,N/A,924,2026-01-23T12:50:51.230288,f00d849d,new
.agent/registry/active/TASK-009.yaml,.yaml,observer,config,N/A,885,2026-01-23T13:00:02.900488,4462487e,new
.agent/registry/active/TASK-010.yaml,.yaml,observer,config,N/A,1096,2026-01-23T23:41:10.082563,e0ad73c2,new
.agent/registry/active/TASK-011.yaml,.yaml,observer,config,N/A,918,2026-01-23T23:41:17.882701,2d68aa36,new
.agent/registry/active/TASK-012.yaml,.yaml,observer,config,N/A,1422,2026-01-23T12:46:10.231249,ba60cde1,new
.agent/registry/active/TASK-013.yaml,.yaml,observer,config,N/A,886,2026-01-23T12:34:17.987875,e422b943,new
.agent/registry/active/TASK-014.yaml,.yaml,observer,config,N/A,892,2026-01-23T12:34:24.400880,385c1eab,new
.agent/registry/active/TASK-015.yaml,.yaml,observer,config,N/A,1562,2026-01-23T12:39:33.455601,182f1228,new
.agent/registry/active/TASK-016.yaml,.yaml,observer,config,N/A,1779,2026-01-23T23:48:24.603034,65e14c7d,new
.agent/registry/active/TASK-017.yaml,.yaml,observer,config,N/A,3095,2026-01-24T02:56:49.966480,55d24fe1,new
.agent/registry/active/TASK-018.yaml,.yaml,observer,config,N/A,2757,2026-01-23T23:48:30.249987,977136e3,new
.agent/registry/active/TASK-019.yaml,.yaml,observer,config,N/A,4122,2026-01-23T22:59:40.266629,c535e5c9,new
.agent/registry/active/TASK-020.yaml,.yaml,observer,config,N/A,834,2026-01-23T17:14:31.263712,72a6cbd6,new
.agent/registry/active/TASK-021.yaml,.yaml,observer,config,N/A,1554,2026-01-23T17:46:10.781746,f527296c,new
.agent/registry/active/TASK-059.yaml,.yaml,observer,config,N/A,1072,2026-01-23T23:08:11.086915,ca1e15a5,new
.agent/registry/active/TASK-061.yaml,.yaml,observer,config,N/A,268,2026-01-23T18:38:36.716644,14c817bb,new
.agent/registry/active/TASK-064.yaml,.yaml,observer,config,N/A,284,2026-01-23T23:04:49.917617,133d316c,new
.agent/registry/active/TASK-065.yaml,.yaml,observer,config,N/A,525,2026-01-23T23:41:23.360904,fcfd6fcf,new
.agent/registry/active/TASK-066.yaml,.yaml,observer,config,N/A,283,2026-01-23T23:00:29.706980,3c208455,new
.agent/registry/batches/BATCH-010-SURVEY.yaml,.yaml,observer,config,N/A,4192,2026-01-23T09:18:26.147502,5f149dac,new
.agent/registry/claimed/README.md,.md,observer,doc,N/A,1836,2026-01-23T01:13:59.076300,9199c790,new
.agent/registry/inbox/OPP-002.yaml,.yaml,observer,config,N/A,594,2026-01-23T06:32:29.214372,a229f774,new
.agent/registry/inbox/OPP-003.yaml,.yaml,observer,config,N/A,652,2026-01-23T06:49:35.585312,b74f9e4d,new
.agent/registry/inbox/OPP-004.yaml,.yaml,observer,config,N/A,770,2026-01-23T06:49:36.491412,1ba50fa7,new
.agent/registry/inbox/OPP-005.yaml,.yaml,observer,config,N/A,1538,2026-01-23T07:05:55.621208,daea8b82,new
.agent/registry/inbox/OPP-006.yaml,.yaml,observer,config,N/A,1353,2026-01-23T07:05:55.664958,d740c570,new
.agent/registry/inbox/OPP-007.yaml,.yaml,observer,config,N/A,4432,2026-01-23T08:04:30.202964,287c5766,new
.agent/registry/inbox/OPP-010.yaml,.yaml,observer,config,N/A,947,2026-01-23T08:14:32.402705,e4e1e68e,new
.agent/registry/inbox/OPP-015.yaml,.yaml,observer,config,N/A,941,2026-01-23T08:14:32.405977,0345626b,new
.agent/registry/inbox/OPP-016.yaml,.yaml,observer,config,N/A,948,2026-01-23T08:14:32.406805,b540f493,new
.agent/registry/inbox/OPP-017.yaml,.yaml,observer,config,N/A,949,2026-01-23T08:14:32.407365,a02c38cf,new
.agent/registry/inbox/OPP-018.yaml,.yaml,observer,config,N/A,935,2026-01-23T08:14:32.407945,ef80173c,new
.agent/registry/inbox/OPP-019.yaml,.yaml,observer,config,N/A,966,2026-01-23T08:14:32.408538,86c583cf,new
.agent/registry/inbox/OPP-020.yaml,.yaml,observer,config,N/A,950,2026-01-23T08:14:32.409127,75979d3e,new
.agent/registry/inbox/OPP-021.yaml,.yaml,observer,config,N/A,943,2026-01-23T08:14:32.409658,d1d7b6b5,new
.agent/registry/inbox/OPP-022.yaml,.yaml,observer,config,N/A,948,2026-01-23T08:14:32.410189,530184d7,new
.agent/registry/inbox/OPP-033.yaml,.yaml,observer,config,N/A,453,2026-01-23T08:14:32.418140,8a89b184,new
.agent/registry/inbox/OPP-034.yaml,.yaml,observer,config,N/A,499,2026-01-23T08:14:32.419178,a90eeb3b,new
.agent/registry/inbox/OPP-042.yaml,.yaml,observer,config,N/A,515,2026-01-23T08:14:32.422647,615973d8,new
.agent/registry/inbox/OPP-043.yaml,.yaml,observer,config,N/A,457,2026-01-23T08:14:32.423194,a46ce465,new
.agent/registry/inbox/OPP-044.yaml,.yaml,observer,config,N/A,513,2026-01-23T08:14:32.423785,2d8529f2,new
.agent/registry/inbox/OPP-051.yaml,.yaml,observer,config,N/A,432,2026-01-23T08:14:32.427228,577d62d8,new
.agent/registry/inbox/OPP-052.yaml,.yaml,observer,config,N/A,432,2026-01-23T08:14:32.427583,23188408,new
.agent/registry/inbox/OPP-053.yaml,.yaml,observer,config,N/A,442,2026-01-23T08:14:32.427938,76708701,new
.agent/registry/inbox/OPP-054.yaml,.yaml,observer,config,N/A,432,2026-01-23T08:14:32.428297,c8d23b75,new
.agent/registry/inbox/OPP-055.yaml,.yaml,observer,config,N/A,434,2026-01-23T08:14:32.428670,0da834ae,new
.agent/registry/inbox/OPP-056.yaml,.yaml,observer,config,N/A,430,2026-01-23T08:14:32.429039,342a53ef,new
.agent/registry/inbox/OPP-059.yaml,.yaml,observer,config,N/A,1708,2026-01-23T15:40:39.707945,ab357fa3,new
.agent/registry/inbox/OPP-060.yaml,.yaml,observer,config,N/A,2269,2026-01-23T15:48:29.404580,bea1a46b,new
.agent/registry/inbox/OPP-061.yaml,.yaml,observer,config,N/A,1562,2026-01-23T17:14:35.603960,1582b578,new
.agent/registry/inbox/OPP-062.yaml,.yaml,observer,config,N/A,714,2026-01-23T16:08:31.431185,daa8a639,new
.agent/registry/inbox/OPP-063.yaml,.yaml,observer,config,N/A,847,2026-01-23T16:08:32.943107,cdc55fa3,new
.agent/registry/inbox/OPP-064.yaml,.yaml,observer,config,N/A,2001,2026-01-23T17:06:29.375690,05afa48d,new
.agent/registry/inbox/OPP-065.yaml,.yaml,observer,config,N/A,1762,2026-01-23T17:02:43.336118,ad66c3c0,new
.agent/registry/inbox/OPP-066.yaml,.yaml,observer,config,N/A,1739,2026-01-23T17:41:31.562798,cc090c0b,new
.agent/registry/inbox/OPP-067.yaml,.yaml,observer,config,N/A,634,2026-01-25T22:16:43.890428,ed62e3ef,new
.agent/registry/inbox/OPP-068.yaml,.yaml,observer,config,N/A,586,2026-01-25T22:16:43.892658,31dcf027,new
.agent/registry/inbox/OPP-069.yaml,.yaml,observer,config,N/A,565,2026-01-25T22:16:43.894682,1867c29f,new
.agent/registry/inbox/OPP-070.yaml,.yaml,observer,config,N/A,604,2026-01-25T22:16:43.897123,3a6bc6a9,new
.agent/registry/inbox/OPP-071.yaml,.yaml,observer,config,N/A,585,2026-01-25T22:16:43.899381,d5346b19,new
.agent/registry/inbox/OPP-072.yaml,.yaml,observer,config,N/A,601,2026-01-25T22:16:43.901727,7137a9eb,new
.agent/registry/inbox/OPP-073.yaml,.yaml,observer,config,N/A,598,2026-01-25T22:16:43.904108,65efeb4d,new
.agent/registry/inbox/OPP-074.yaml,.yaml,observer,config,N/A,613,2026-01-25T22:16:43.906606,57a92378,new
.agent/registry/inbox/OPP-075.yaml,.yaml,observer,config,N/A,580,2026-01-25T22:16:43.908585,e3f2bb32,new
.agent/registry/inbox/OPP-076.yaml,.yaml,observer,config,N/A,559,2026-01-25T22:16:43.910733,94c411a8,new
.agent/registry/inbox/OPP-077.yaml,.yaml,observer,config,N/A,588,2026-01-25T22:16:43.913118,dbd8d4f1,new
.agent/registry/inbox/OPP-078.yaml,.yaml,observer,config,N/A,598,2026-01-25T22:16:43.915411,419987d5,new
.agent/registry/inbox/OPP-079.yaml,.yaml,observer,config,N/A,592,2026-01-25T22:16:43.917694,8cba2383,new
.agent/registry/inbox/OPP-080.yaml,.yaml,observer,config,N/A,604,2026-01-25T22:16:43.920021,ae1c45e9,new
.agent/registry/inbox/OPP-081.yaml,.yaml,observer,config,N/A,577,2026-01-25T22:16:43.922066,b898aa0a,new
.agent/registry/inbox/OPP-082.yaml,.yaml,observer,config,N/A,562,2026-01-25T22:16:43.924103,19521ce7,new
.agent/registry/inbox/OPP-083.yaml,.yaml,observer,config,N/A,585,2026-01-25T22:16:43.926662,0ed39ae4,new
.agent/registry/inbox/OPP-084.yaml,.yaml,observer,config,N/A,570,2026-01-25T22:16:43.928757,87664388,new
.agent/registry/inbox/OPP-085.yaml,.yaml,observer,config,N/A,540,2026-01-25T22:16:43.930391,6931e2a6,new
.agent/registry/inbox/OPP-086.yaml,.yaml,observer,config,N/A,610,2026-01-25T22:16:43.932904,7ff029d5,new
.agent/registry/inbox/OPP-087.yaml,.yaml,observer,config,N/A,340,2026-01-25T22:51:00.606564,5ff86520,new
.agent/registry/inbox/OPP-088.yaml,.yaml,observer,config,N/A,373,2026-01-25T22:51:00.607192,b3abb7e8,new
.agent/registry/inbox/OPP-089.yaml,.yaml,observer,config,N/A,369,2026-01-25T22:51:00.607661,c2e5249a,new
.agent/registry/inbox/OPP-090.yaml,.yaml,observer,config,N/A,348,2026-01-25T22:51:00.608223,af0f80f6,new
.agent/registry/inbox/OPP-091.yaml,.yaml,observer,config,N/A,453,2026-01-25T22:51:00.608709,9373913b,new
.agent/registry/inbox/OPP-092.yaml,.yaml,observer,config,N/A,411,2026-01-25T22:51:00.609151,e81191d9,new
.agent/roadmaps/ROADMAP-main.yaml,.yaml,observer,config,N/A,2986,2026-01-23T12:15:17.599472,484defa8,new
.agent/runs/RUN-20260122-194058-claude.yaml,.yaml,observer,config,N/A,2816,2026-01-22T19:43:19.166888,41d9b35e,new
.agent/schema/card.schema.yaml,.yaml,observer,schema,N/A,7373,2026-01-23T15:10:07.706271,2d863967,new
.agent/schema/hierarchy.schema.yaml,.yaml,observer,schema,N/A,10595,2026-01-23T12:14:52.709626,4f4a6a97,new
.agent/schema/opportunity.schema.yaml,.yaml,observer,schema,N/A,2768,2026-01-23T05:47:15.079583,2b384e86,new
.agent/schema/refinery_node.schema.yaml,.yaml,observer,schema,N/A,20893,2026-01-23T08:46:12.917056,d820e988,new
.agent/schema/run.schema.yaml,.yaml,observer,schema,N/A,3736,2026-01-22T19:39:13.771828,9a469903,new
.agent/schema/task.schema.yaml,.yaml,observer,schema,N/A,3238,2026-01-23T08:53:26.019873,74c2fa27,new
.agent/specs/AUTONOMOUS_ENRICHMENT_PIPELINE.md,.md,observer,doc,N/A,9305,2026-01-25T03:17:04.957180,ff2ce146,new
.agent/specs/BACKGROUND_AUTO_REFINEMENT_ENGINE.md,.md,observer,doc,N/A,5302,2026-01-25T03:49:41.335846,8274f224,new
.agent/specs/BACKGROUND_SERVICES_ONTOLOGY.md,.md,observer,doc,N/A,5369,2026-01-25T02:13:37.071046,93aa37d5,new
.agent/specs/BARE_LIVE.md,.md,observer,doc,N/A,19636,2026-01-23T07:04:18.937204,6360365b,new
.agent/specs/CUTTING_PLAN.md,.md,observer,doc,N/A,21627,2026-01-23T07:17:29.036085,08a38d6a,new
.agent/specs/DECISION_DECK_LAYER.md,.md,observer,doc,N/A,13999,2026-01-25T04:41:48.917518,343e3b33,new
.agent/specs/MACRO_AUTOMATION_IMPLEMENTATION_PLAN.md,.md,observer,doc,N/A,10256,2026-01-25T23:18:31.378232,193abb23,new
.agent/specs/SCALE_TERMINOLOGY.md,.md,observer,doc,N/A,8983,2026-01-25T03:04:43.668635,9910e41f,new
.agent/specs/WAVE_PARTICLE_SYMMETRY.md,.md,observer,doc,N/A,10308,2026-01-23T21:01:40.988962,aa575df3,new
.agent/sprints/SPRINT-001.yaml,.yaml,observer,config,N/A,1612,2026-01-24T16:49:07.836703,e397f6de,new
.agent/sprints/SPRINT-002.yaml,.yaml,observer,config,N/A,3471,2026-01-24T16:49:07.836858,8f1b36fb,new
.agent/sprints/SPRINT-003.yaml,.yaml,observer,config,N/A,4126,2026-01-24T03:27:41.536589,3da869ad,new
.agent/state/autopilot_state.yaml,.yaml,observer,config,N/A,126,2026-01-25T23:52:20.186497,d8e7a50a,new
.agent/state/circuit_breakers.yaml,.yaml,observer,config,N/A,234,2026-01-26T00:03:27.676138,a2da19ba,new
.agent/state/meters.yaml,.yaml,observer,config,N/A,58,2026-01-26T02:23:00.296538,37c2acea,new
