src,link,resolved,is_archive,suggestion
.agent/emergency/SYSTEM-CRYSTALLIZATION-INDEX.md,./BACKGROUND-SERVICES-EMERGENCY-MAP.md,agent/emergency/BACKGROUND-SERVICES-EMERGENCY-MAP.md,False,Did you mean `.agent/emergency/BACKGROUND-SERVICES-EMERGENCY-MAP.md` (missing leading dot)?
.agent/emergency/SYSTEM-CRYSTALLIZATION-INDEX.md,./OBSERVER-GOVERNANCE-EMERGENCY-MAP.md,agent/emergency/OBSERVER-GOVERNANCE-EMERGENCY-MAP.md,False,Did you mean `.agent/emergency/OBSERVER-GOVERNANCE-EMERGENCY-MAP.md` (missing leading dot)?
.agent/emergency/SYSTEM-CRYSTALLIZATION-INDEX.md,./PARTICLE-COLLIDER-EMERGENCY-MAP.md,agent/emergency/PARTICLE-COLLIDER-EMERGENCY-MAP.md,False,Did you mean `.agent/emergency/PARTICLE-COLLIDER-EMERGENCY-MAP.md` (missing leading dot)?
.agent/emergency/SYSTEM-CRYSTALLIZATION-INDEX.md,./WAVE-AI-SUBSYSTEM-EMERGENCY-MAP.md,agent/emergency/WAVE-AI-SUBSYSTEM-EMERGENCY-MAP.md,False,Did you mean `.agent/emergency/WAVE-AI-SUBSYSTEM-EMERGENCY-MAP.md` (missing leading dot)?
.agent/intelligence/PRIORITY_MATRIX.md,../specs/WAVE_PARTICLE_SYMMETRY.md,agent/specs/WAVE_PARTICLE_SYMMETRY.md,False,Did you mean `.agent/specs/WAVE_PARTICLE_SYMMETRY.md` (missing leading dot)?
.agent/intelligence/WAVE_PARTICLE_BALANCE.md,./PRIORITY_MATRIX.md,agent/intelligence/PRIORITY_MATRIX.md,False,Did you mean `.agent/intelligence/PRIORITY_MATRIX.md` (missing leading dot)?
.agent/intelligence/WAVE_PARTICLE_BALANCE.md,../specs/WAVE_PARTICLE_SYMMETRY.md,agent/specs/WAVE_PARTICLE_SYMMETRY.md,False,Did you mean `.agent/specs/WAVE_PARTICLE_SYMMETRY.md` (missing leading dot)?
context-management/docs/archive/ROADMAP_10_OF_10.md,docs/roadmaps/C1_ATOM_ENUMERATION.md,context-management/docs/archive/docs/roadmaps/C1_ATOM_ENUMERATION.md,False,Extra `docs/` segment; check relative base.
context-management/docs/archive/ROADMAP_10_OF_10.md,docs/roadmaps/C2_JSON_SCHEMA.md,context-management/docs/archive/docs/roadmaps/C2_JSON_SCHEMA.md,False,Extra `docs/` segment; check relative base.
context-management/docs/archive/ROADMAP_10_OF_10.md,docs/roadmaps/C3_TRAINING_CORPUS.md,context-management/docs/archive/docs/roadmaps/C3_TRAINING_CORPUS.md,False,Extra `docs/` segment; check relative base.
context-management/docs/archive/legacy_schema_2025/theory_v2.0.md,./OCTAHEDRAL_ATOM.md,context-management/docs/archive/legacy_schema_2025/OCTAHEDRAL_ATOM.md,False,
context-management/docs/archive/legacy_schema_2025/theory_v2.md,./OCTAHEDRAL_ATOM.md,context-management/docs/archive/legacy_schema_2025/OCTAHEDRAL_ATOM.md,False,
context-management/docs/deep/PURPOSE_EMERGENCE.md,../../standard-model-of-code/docs/COLLIDER.md,context-management/standard-model-of-code/docs/COLLIDER.md,False,Relative path likely needs one more `../` to reach repo root (should be `../../../standard-model-of-code/...`).
context-management/docs/deep/PURPOSE_EMERGENCE.md,../../standard-model-of-code/docs/MODEL.md,context-management/standard-model-of-code/docs/MODEL.md,False,Relative path likely needs one more `../` to reach repo root (should be `../../../standard-model-of-code/...`).
archive/context-management-agent-2026-01-23/orientation/DOCS_README.md,ATOMS_REFERENCE.md,archive/context-management-agent-2026-01-23/orientation/ATOMS_REFERENCE.md,True,
archive/context-management-agent-2026-01-23/orientation/DOCS_README.md,CANONICAL_SCHEMA.md,archive/context-management-agent-2026-01-23/orientation/CANONICAL_SCHEMA.md,True,
archive/context-management-agent-2026-01-23/orientation/DOCS_README.md,DIMENSIONS.md,archive/context-management-agent-2026-01-23/orientation/DIMENSIONS.md,True,
archive/context-management-agent-2026-01-23/orientation/DOCS_README.md,FIRST_PRINCIPLES.md,archive/context-management-agent-2026-01-23/orientation/FIRST_PRINCIPLES.md,True,
archive/context-management-agent-2026-01-23/orientation/DOCS_README.md,FORMAL_PROOF.md,archive/context-management-agent-2026-01-23/orientation/FORMAL_PROOF.md,True,
archive/context-management-agent-2026-01-23/orientation/DOCS_README.md,LEARNING_LEDGER.md,archive/context-management-agent-2026-01-23/orientation/LEARNING_LEDGER.md,True,
archive/context-management-agent-2026-01-23/orientation/DOCS_README.md,LLM_INSTRUCTIONS.md,archive/context-management-agent-2026-01-23/orientation/LLM_INSTRUCTIONS.md,True,
