path,bytes,MB,ext,top,prefix2,is_archive
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/trpc/163ec4ec05be/output_llm-oriented_trpc_20260123_025939.json,6217664,6.217664,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/trpc/163ec4ec05be/output_llm-oriented_trpc_20260123_030803.json,6217664,6.217664,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/alacritty/08134af85335/output_llm-oriented_alacritty_20260123_031144.json,5469362,5.469362,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/alacritty/08134af85335/output_llm-oriented_alacritty_20260123_030316.json,5469362,5.469362,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/jackson-core/manual/output_llm-oriented_jackson-core_20260123_045952.json,5058106,5.058106,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/zod/7b43bc64e7a2/output_llm-oriented_zod_20260123_030758.json,4082146,4.082146,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/zod/7b43bc64e7a2/output_llm-oriented_zod_20260123_025336.json,4082146,4.082146,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/zod/7b43bc64e7a2/output_llm-oriented_zod_20260123_025933.json,4082146,4.082146,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/gin/b2b489dbf482/output_llm-oriented_gin_20260123_030107.json,4061544,4.061544,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/gin/b2b489dbf482/output_llm-oriented_gin_20260123_030922.json,4061544,4.061544,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-22/repos/zod/cbf77bb12bdf/output_llm-oriented_zod_20260122_151852.json,3984574,3.984574,.json,standard-model-of-code,standard-model-of-code/artifacts,False
archive/orphaned_output_2025/particle_registry_4d.json,3230221,3.230221,.json,archive,archive/orphaned_output_2025,True
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/solid/a5b51fe200fd/output_llm-oriented_solid_20260123_030823.json,2884143,2.884143,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/solid/a5b51fe200fd/output_llm-oriented_solid_20260123_030002.json,2884143,2.884143,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/hono/bcc81b1fc062/output_llm-oriented_hono_20260123_025957.json,2410923,2.410923,.json,standard-model-of-code,standard-model-of-code/artifacts,False
