component_id,type,symbol_kind,name,rel_file,line,confidence,evidence,purpose,internal_deps,external_deps,stdlib_deps
f28da0185205,Unknown,function,get_swagger_ui_html,openapi/docs.py,27,30.0,def get_swagger_ui_html(,Unknown particle type,0,4,2
faab39e4976a,Unknown,function,get_redoc_html,openapi/docs.py,162,30.0,def get_redoc_html(,Unknown particle type,0,4,2
daadf6f33878,Unknown,function,get_swagger_ui_oauth2_redirect_html,openapi/docs.py,257,30.0,def get_swagger_ui_oauth2_redirect_html() -> HTMLResponse:,Unknown particle type,0,4,2
47de19a92d46,Unknown,function,get_openapi_security_definitions,openapi/utils.py,79,30.0,def get_openapi_security_definitions(,Unknown particle type,1,16,4
904ff99b095a,Unknown,function,_get_openapi_operation_parameters,openapi/utils.py,105,30.0,def _get_openapi_operation_parameters(,Unknown particle type,1,16,4
6f012a284c06,Unknown,function,get_openapi_operation_request_body,openapi/utils.py,178,30.0,def get_openapi_operation_request_body(,Unknown particle type,1,16,4
3effeafd2641,Unknown,function,generate_operation_id,openapi/utils.py,213,30.0,def generate_operation_id(,Unknown particle type,1,16,4
f5700e7e6a6b,Unknown,function,generate_operation_summary,openapi/utils.py,228,30.0,"def generate_operation_summary(*, route: routing.APIRoute, method: str) -> str:",Unknown particle type,1,16,4
cf5805bda108,Unknown,function,get_openapi_operation_metadata,openapi/utils.py,234,30.0,def get_openapi_operation_metadata(,Unknown particle type,1,16,4
59d14da7f7b2,Unknown,function,get_openapi_path,openapi/utils.py,260,30.0,def get_openapi_path(,Unknown particle type,1,16,4
5ec39d691e29,Unknown,function,get_fields_from_routes,openapi/utils.py,446,30.0,def get_fields_from_routes(,Unknown particle type,1,16,4
df89051b36a5,Unknown,function,get_openapi,openapi/utils.py,477,30.0,def get_openapi(,Unknown particle type,1,16,4
dca2ea1d2b93,DTO,class,GenerateJsonSchema,_compat/v1.py,149,50.0,class GenerateJsonSchema:,Data transfer object / schema (no business behavior),0,56,4
d5bcded0563f,DTO,class,PydanticSchemaGenerationError,_compat/v1.py,153,50.0,class PydanticSchemaGenerationError(Exception):,Data transfer object / schema (no business behavior),0,56,4
071eaa609a8e,Unknown,function,with_info_plain_validator_function,_compat/v1.py,160,30.0,def with_info_plain_validator_function(,Unknown particle type,0,56,4
cd0b2e1b16d1,Unknown,function,get_model_definitions,_compat/v1.py,170,30.0,def get_model_definitions(,Unknown particle type,0,56,4
804529343c56,Unknown,function,is_pv1_scalar_field,_compat/v1.py,189,30.0,def is_pv1_scalar_field(field: ModelField) -> bool:,Unknown particle type,0,56,4
2f4b9faf26f9,Unknown,function,is_pv1_scalar_sequence_field,_compat/v1.py,208,30.0,def is_pv1_scalar_sequence_field(field: ModelField) -> bool:,Unknown particle type,0,56,4
4cb489d802a1,Unknown,function,_model_rebuild,_compat/v1.py,222,30.0,def _model_rebuild(model: Type[BaseModel]) -> None:,Unknown particle type,0,56,4
8e2e9a5b8295,Unknown,function,_model_dump,_compat/v1.py,226,30.0,def _model_dump(,Unknown particle type,0,56,4
63ef2bfbae30,Unknown,function,_get_model_config,_compat/v1.py,232,30.0,def _get_model_config(model: BaseModel) -> Any:,Unknown particle type,0,56,4
c777a8305079,Unknown,function,get_schema_from_model_field,_compat/v1.py,236,30.0,def get_schema_from_model_field(,Unknown particle type,0,56,4
e6d691eb7660,Unknown,function,get_definitions,_compat/v1.py,255,30.0,def get_definitions(,Unknown particle type,0,56,4
f2348d67bbaf,Unknown,function,is_scalar_field,_compat/v1.py,268,30.0,def is_scalar_field(field: ModelField) -> bool:,Unknown particle type,0,56,4
9a952e85925c,Unknown,function,is_sequence_field,_compat/v1.py,272,30.0,def is_sequence_field(field: ModelField) -> bool:,Unknown particle type,0,56,4
441563dccb6a,Unknown,function,is_scalar_sequence_field,_compat/v1.py,276,30.0,def is_scalar_sequence_field(field: ModelField) -> bool:,Unknown particle type,0,56,4
d390a91d2d24,Unknown,function,is_bytes_field,_compat/v1.py,280,30.0,def is_bytes_field(field: ModelField) -> bool:,Unknown particle type,0,56,4
bc98ce87adf6,Unknown,function,is_bytes_sequence_field,_compat/v1.py,284,30.0,def is_bytes_sequence_field(field: ModelField) -> bool:,Unknown particle type,0,56,4
f93d605e85fd,Unknown,function,copy_field_info,_compat/v1.py,288,30.0,"def copy_field_info(*, field_info: FieldInfo, annotation: Any) -> FieldInfo:",Unknown particle type,0,56,4
f5ad99dbebd2,Unknown,function,serialize_sequence_value,_compat/v1.py,292,30.0,"def serialize_sequence_value(*, field: ModelField, value: Any) -> Sequence[Any]:",Unknown particle type,0,56,4
